Intern_ID,Completion_Time,Feedback_Rating,Attendance,Performance_Score,performance_label
INT1298,1.17,1.0,45.96,59.38,Medium
INT1299,4.35,1.66,2.29,67.84,Medium
INT1300,5.2,1.0,70.57,46.96,Low
INT1301,1.0,1.73,6.36,75.04,High
INT1302,6.63,1.0,90.73,50.84,Medium
INT1303,1.14,2.99,61.29,88.79,High
INT1304,4.09,1.26,89.92,58.29,Medium
INT1305,5.39,1.89,55.06,34.88,Low
INT1306,5.89,2.8,89.98,41.95,Low
INT1307,5.55,4.0,56.01,71.78,Medium
INT1308,5.89,1.8,56.24,37.91,Low
INT1309,3.45,4.63,72.15,88.42,High
INT1310,5.75,1.0,90.97,45.47,Low
INT1311,1.96,2.23,77.62,68.57,Medium
INT1312,6.45,4.64,93.75,65.68,Medium
INT1313,4.76,2.66,99.47,71.69,Medium
INT1314,5.43,3.81,54.77,75.16,High
INT1315,3.94,3.78,80.64,92.89,High
INT1316,5.18,3.92,87.72,80.57,High
INT1317,3.71,1.41,61.61,68.18,Medium
INT1318,5.47,3.62,58.36,56.21,Medium
INT1319,1.79,3.22,87.98,73.9,Medium
INT1320,1.42,4.59,36.33,91.95,High
INT1321,2.04,3.21,56.75,70.26,Medium
INT1322,2.15,4.12,65.74,74.6,Medium
INT1323,5.79,2.73,67.93,42.74,Low
INT1324,2.64,1.0,98.26,61.35,Medium
INT1325,6.4,4.58,84.9,77.52,High
INT1326,2.66,1.0,56.04,66.14,Medium
INT1327,1.87,3.57,98.44,80.46,High
INT1328,5.87,1.8,95.16,45.14,Low
INT1329,5.43,5.0,75.6,77.34,High
INT1330,3.61,2.71,95.28,50.9,Medium
INT1331,3.97,2.34,70.22,80.25,High
INT1332,,1.8,0.0,45.48,Low
INT1333,,3.55,40.55,87.58,High
INT1334,6.95,4.72,83.12,60.73,Medium
INT1335,6.67,3.26,75.05,42.73,Low
INT1336,4.96,3.06,82.95,66.06,Medium
INT1337,1.96,3.85,84.3,69.02,Medium
INT1338,4.98,2.51,51.12,41.74,Low
INT1339,1.26,4.24,52.7,92.29,High
INT1340,,1.61,0.0,76.16,High
INT1341,2.97,2.39,,70.07,Medium
INT1342,4.04,1.0,81.63,52.93,Medium
INT1343,6.15,1.53,77.61,48.37,Low
INT1344,5.36,4.0,79.29,78.87,High
INT1345,5.09,2.25,65.12,48.64,Low
INT1346,3.8,4.0,81.99,88.11,High
INT1347,3.18,4.0,91.47,91.3,High
INT1348,3.63,3.18,99.9,62.94,Medium
INT1349,6.63,3.31,91.92,42.83,Low
INT1350,1.5,5.0,9.83,99.02,High
INT1351,6.38,1.57,59.67,49.62,Low
INT1352,,1.82,84.07,52.62,Medium
INT1353,3.8,1.9,96.88,69.16,Medium
INT1354,5.77,2.39,60.59,62.28,Medium
INT1355,4.34,4.0,62.8,78.18,High
INT1356,6.46,1.8,57.45,40.16,Low
INT1357,5.95,3.04,86.84,41.41,Low
INT1358,3.9,3.69,37.33,83.35,High
INT1359,2.82,2.0,53.13,80.05,High
INT1360,4.36,2.36,68.69,71.26,Medium
INT1361,6.16,3.88,77.88,70.93,Medium
INT1362,1.88,4.32,66.55,71.21,Medium
INT1363,4.29,2.03,67.2,69.76,Medium
INT1364,5.04,1.49,,58.06,Medium
INT1365,5.14,1.78,3.81,47.75,Low
INT1366,1.31,2.92,66.85,89.94,High
INT1367,5.19,3.48,41.23,63.4,Medium
INT1368,6.43,5.0,52.61,80.32,High
INT1369,1.75,4.0,48.05,69.85,Medium
INT1370,1.97,5.0,3.33,86.8,High
INT1371,6.52,3.73,76.44,71.24,Medium
INT1372,2.27,3.57,92.01,75.37,High
INT1373,5.71,3.19,53.41,59.12,Medium
INT1374,4.01,2.53,53.91,54.77,Medium
INT1375,2.13,4.47,77.81,88.39,High
INT1376,5.92,4.4,81.96,56.56,Medium
INT1377,3.56,5.0,60.57,78.47,High
INT1378,3.69,1.0,87.26,64.85,Medium
INT1379,2.83,3.51,82.31,60.12,Medium
INT1380,4.41,2.6,2.12,60.98,Medium
INT1381,1.81,1.7,,72.89,Medium
INT1382,3.6,3.02,87.57,87.79,High
INT1383,6.39,3.22,26.3,54.2,Medium
INT1384,2.91,4.55,7.59,79.53,High
INT1385,5.26,1.93,77.59,53.85,Medium
INT1386,3.22,,5.88,75.22,High
INT1387,5.45,1.0,0.86,51.16,Medium
INT1388,2.11,4.0,50.22,84.84,High
INT1389,6.5,5.0,41.81,75.4,High
INT1390,3.34,4.23,60.86,65.47,Medium
INT1391,1.96,1.0,87.17,58.95,Medium
INT1392,1.88,1.0,,56.61,Medium
INT1393,1.83,5.0,8.88,90.16,High
INT1394,4.54,1.45,91.9,81.07,High
INT1395,2.79,2.15,91.64,90.86,High
INT1396,6.38,1.82,57.63,45.67,Low
INT1397,3.99,2.05,81.52,81.23,High
INT1398,2.91,2.75,,71.23,Medium
INT1399,4.7,2.09,64.94,58.81,Medium
INT1400,5.61,3.98,86.15,71.27,Medium
INT1401,2.45,1.0,76.56,63.8,Medium
INT1402,1.83,2.61,86.53,74.13,Medium
INT1403,1.14,5.0,2.74,95.07,High
INT1404,5.64,1.68,76.43,57.61,Medium
INT1405,4.78,3.36,64.56,76.43,High
INT1406,4.1,2.36,98.63,79.42,High
INT1407,5.64,1.0,92.86,46.23,Low
INT1408,5.85,4.92,86.66,66.2,Medium
INT1409,4.13,2.02,62.59,76.63,High
INT1410,6.0,1.0,67.34,45.4,Low
INT1411,2.0,1.28,,70.53,Medium
INT1412,2.01,2.47,66.26,70.58,Medium
INT1413,2.31,2.09,86.64,59.73,Medium
INT1414,,1.0,86.82,67.07,Medium
INT1415,4.48,2.46,50.92,59.91,Medium
INT1416,6.62,2.02,35.59,44.56,Low
INT1417,1.0,5.0,2.03,90.56,High
INT1418,1.46,2.3,0.0,84.49,High
INT1419,3.67,3.83,9.8,69.07,Medium
INT1420,6.11,2.12,56.44,52.21,Medium
INT1421,2.93,4.62,89.53,80.78,High
INT1422,4.49,1.04,39.53,55.1,Medium
INT1423,1.0,5.0,0.0,98.98,High
INT1424,1.96,4.72,80.37,84.62,High
INT1425,7.0,2.33,58.01,61.09,Medium
INT1426,7.0,4.06,88.93,49.55,Low
INT1427,1.38,2.2,0.57,66.39,Medium
INT1428,7.0,3.49,60.55,54.46,Medium
INT1429,4.64,1.0,77.91,48.88,Low
INT1430,6.6,3.7,48.6,51.61,Medium
INT1431,4.17,,96.01,59.53,Medium
INT1432,4.09,3.31,94.0,77.78,High
INT1433,3.78,4.0,74.17,82.31,High
INT1434,4.91,4.46,67.96,54.35,Medium
INT1435,1.67,4.0,4.41,88.34,High
INT1436,1.0,3.83,9.78,75.57,High
INT1437,2.97,2.78,,68.81,Medium
INT1438,5.29,4.52,90.25,81.09,High
INT1439,2.17,2.56,65.54,88.99,High
INT1440,4.64,4.94,59.5,67.99,Medium
INT1441,7.0,1.19,73.77,41.29,Low
INT1442,1.23,2.18,53.45,75.83,High
INT1443,4.65,2.7,85.06,56.42,Medium
INT1444,3.78,2.58,75.92,69.03,Medium
INT1445,6.11,1.0,74.82,54.73,Medium
INT1446,1.62,2.33,65.02,83.88,High
INT1447,5.02,2.58,67.62,83.56,High
INT1448,6.3,1.66,54.52,51.71,Medium
INT1449,6.79,1.0,93.49,40.08,Low
INT1450,4.96,4.0,68.84,71.61,Medium
INT1451,3.67,1.0,94.03,56.24,Medium
INT1452,4.84,4.29,86.44,76.72,High
INT1453,6.6,1.0,27.39,33.94,Low
INT1454,4.57,2.4,91.58,64.5,Medium
INT1455,1.49,5.0,5.88,100.0,High
INT1456,6.61,,51.62,35.49,Low
INT1457,5.36,1.0,56.69,49.98,Low
INT1458,5.46,1.23,58.37,56.88,Medium
INT1459,2.56,5.0,51.39,96.82,High
INT1460,5.36,4.0,87.33,80.21,High
INT1461,3.29,3.55,86.01,58.9,Medium
INT1462,5.31,2.92,82.98,45.82,Low
INT1463,1.76,1.51,88.31,92.41,High
INT1464,5.32,3.15,46.24,57.61,Medium
INT1465,6.54,3.49,63.04,58.97,Medium
INT1466,1.45,1.0,5.57,69.09,Medium
INT1467,7.0,2.33,50.91,35.71,Low
INT1468,3.11,3.55,68.33,79.89,High
INT1469,6.38,1.0,86.44,48.16,Low
INT1470,6.01,2.43,71.36,70.44,Medium
INT1471,4.19,1.03,9.88,41.69,Low
INT1472,5.34,1.0,32.04,44.19,Low
INT1473,6.34,5.0,50.91,78.26,High
INT1474,3.44,3.53,98.24,77.89,High
INT1475,2.5,5.0,41.83,78.41,High
INT1476,4.61,1.0,41.65,48.2,Low
INT1477,5.45,3.24,65.92,61.79,Medium
INT1478,5.33,4.7,62.83,62.47,Medium
INT1479,5.54,3.06,51.05,43.36,Low
INT1480,3.85,2.32,,83.88,High
INT1481,5.98,2.41,72.46,62.55,Medium
INT1482,1.98,1.56,59.9,74.46,Medium
INT1483,3.84,2.23,3.98,64.49,Medium
INT1484,1.02,2.31,0.0,90.96,High
INT1485,2.77,3.26,94.73,66.19,Medium
INT1486,3.55,2.41,96.84,70.57,Medium
INT1487,3.59,2.17,80.9,66.27,Medium
INT1488,5.54,2.4,16.42,48.47,Low
INT1489,2.88,3.04,87.04,89.85,High
INT1490,3.91,3.73,55.5,60.17,Medium
INT1491,2.47,5.0,57.26,92.8,High
INT1492,3.57,1.17,88.97,68.43,Medium
INT1493,2.37,1.66,,75.8,High
INT1494,1.48,3.95,72.32,93.79,High
INT1495,4.17,2.98,86.91,66.07,Medium
INT1496,5.18,2.99,84.66,70.36,Medium
INT1497,4.49,1.0,63.09,42.26,Low
INT1498,3.3,1.59,96.24,67.33,Medium
INT1499,2.85,1.88,58.98,56.75,Medium
INT1500,6.64,3.0,95.24,80.2,High
INT1501,3.96,3.03,65.63,53.67,Medium
INT1502,4.25,5.0,9.88,82.53,High
INT1503,1.61,2.7,4.97,92.27,High
INT1504,3.49,3.16,50.12,53.85,Medium
INT1505,3.66,2.97,51.95,82.48,High
INT1506,3.78,5.0,63.12,83.53,High
INT1507,4.27,4.0,94.24,83.72,High
INT1508,3.85,1.0,84.57,54.86,Medium
INT1509,4.79,,83.31,63.97,Medium
INT1510,5.58,3.14,34.68,49.51,Low
INT1511,5.48,2.77,0.0,33.87,Low
INT1512,5.49,2.39,,70.15,Medium
INT1513,6.79,4.22,58.55,62.13,Medium
INT1514,1.47,4.13,0.32,76.73,High
INT1515,2.28,4.76,80.02,87.49,High
INT1516,1.12,3.31,6.12,82.3,High
INT1517,4.82,1.5,59.93,56.72,Medium
INT1518,6.35,1.8,57.03,31.89,Low
INT1519,,3.64,56.16,77.59,High
INT1520,6.2,3.42,72.4,75.14,High
INT1521,1.31,2.74,26.6,83.13,High
INT1522,6.77,1.8,98.85,41.41,Low
INT1523,3.04,1.0,,58.38,Medium
INT1524,1.39,1.0,55.52,52.72,Medium
INT1525,3.71,1.28,48.96,73.39,Medium
INT1526,2.27,3.83,54.0,82.06,High
INT1527,2.55,,80.12,63.78,Medium
INT1528,3.21,4.15,92.53,92.85,High
INT1529,5.83,3.02,52.39,51.95,Medium
INT1530,3.97,5.0,89.99,75.08,High
INT1531,2.75,5.0,69.72,88.92,High
INT1532,4.27,2.93,22.66,42.79,Low
INT1533,5.7,3.6,23.04,69.1,Medium
INT1534,2.55,1.0,,70.11,Medium
INT1535,3.96,1.0,,63.93,Medium
INT1536,1.58,4.0,93.34,93.78,High
INT1537,2.43,5.0,37.49,94.63,High
INT1538,4.85,2.03,26.24,58.33,Medium
INT1539,1.67,3.18,49.95,77.77,High
INT1540,3.68,1.83,90.87,80.05,High
INT1541,5.36,5.0,86.31,77.0,High
INT1542,1.45,2.29,74.44,61.0,Medium
INT1543,4.34,2.24,54.11,84.45,High
INT1544,2.86,1.0,56.02,73.34,Medium
INT1545,6.53,1.8,95.5,56.4,Medium
INT1546,3.71,3.5,92.32,70.72,Medium
INT1547,6.19,1.04,61.58,60.1,Medium
INT1548,4.29,4.58,0.82,92.34,High
INT1549,1.59,3.99,7.16,87.4,High
INT1550,4.67,5.0,83.76,81.02,High
INT1551,6.61,1.0,78.03,46.06,Low
INT1552,4.28,5.0,67.77,67.8,Medium
INT1553,6.34,3.25,78.44,67.39,Medium
INT1554,6.71,3.52,62.87,61.04,Medium
INT1555,2.85,3.23,72.01,77.91,High
INT1556,2.17,4.06,64.04,75.77,High
INT1557,4.99,4.24,56.14,74.42,Medium
INT1558,3.38,5.0,66.09,75.91,High
INT1559,5.99,1.0,92.6,45.41,Low
INT1560,6.73,5.0,69.05,67.22,Medium
INT1561,2.8,2.46,87.4,69.89,Medium
INT1562,2.14,1.01,58.76,56.12,Medium
INT1563,5.49,2.48,71.22,68.63,Medium
INT1564,2.94,1.73,55.74,68.79,Medium
INT1565,5.81,5.0,56.93,68.79,Medium
INT1566,3.4,3.65,80.87,58.58,Medium
INT1567,5.51,1.0,80.37,41.75,Low
INT1568,1.45,4.58,60.67,76.67,High
INT1569,4.49,1.0,73.72,51.96,Medium
INT1570,3.83,3.82,,82.6,High
INT1571,4.82,1.0,58.71,54.57,Medium
INT1572,1.58,2.57,50.96,68.0,Medium
INT1573,5.54,1.0,82.6,50.75,Medium
INT1574,5.72,3.75,52.67,37.76,Low
INT1575,2.33,2.13,99.0,99.24,High
INT1576,1.33,1.0,80.48,66.8,Medium
INT1577,1.0,2.59,4.17,91.79,High
INT1578,4.82,4.0,44.85,78.49,High
INT1579,5.07,4.52,,72.9,Medium
INT1580,4.49,5.0,54.53,75.41,High
INT1581,2.83,3.04,74.4,68.63,Medium
INT1582,3.51,3.6,81.28,63.83,Medium
INT1583,4.08,,59.2,74.88,Medium
INT1584,3.75,3.66,78.13,80.06,High
INT1585,7.0,3.36,56.66,57.43,Medium
INT1586,1.96,,50.88,72.86,Medium
INT1587,5.65,3.46,81.53,61.09,Medium
INT1588,3.09,1.8,82.42,58.04,Medium
INT1589,3.37,4.94,79.18,83.84,High
INT1590,5.17,3.51,59.17,66.31,Medium
INT1591,4.98,3.69,0.43,66.15,Medium
INT1592,6.7,3.6,52.83,64.61,Medium
INT1593,1.71,2.14,80.46,75.86,High
INT1594,1.76,2.98,77.7,76.66,High
INT1595,5.16,4.29,62.0,81.61,High
INT1596,4.05,4.99,94.77,86.13,High
INT1597,2.85,1.06,92.52,76.02,High
INT1598,1.44,3.12,99.03,69.9,Medium
INT1599,1.57,1.0,98.81,76.26,High
INT1600,6.33,,61.53,68.03,Medium
INT1601,2.54,1.0,97.82,77.03,High
INT1602,3.0,4.15,93.36,87.74,High
INT1603,2.78,2.8,0.0,95.22,High
INT1604,3.14,5.0,53.77,80.39,High
INT1605,1.21,4.11,52.45,72.51,Medium
INT1606,3.97,5.0,91.88,87.64,High
INT1607,1.43,2.21,45.9,73.18,Medium
INT1608,5.83,1.0,90.73,48.64,Low
INT1609,2.59,1.8,65.65,53.06,Medium
INT1610,3.96,1.0,69.88,58.92,Medium
INT1611,6.44,5.0,85.01,76.86,High
INT1612,5.19,1.0,95.77,57.36,Medium
INT1613,,1.0,54.39,43.82,Low
INT1614,2.93,5.0,72.57,96.36,High
INT1615,3.49,1.9,89.65,55.14,Medium
INT1616,4.92,3.94,39.4,66.32,Medium
INT1617,6.57,1.29,67.76,43.14,Low
INT1618,5.29,2.75,52.32,34.41,Low
INT1619,4.06,4.0,50.79,74.71,Medium
INT1620,5.59,2.36,73.85,43.63,Low
INT1621,3.47,3.01,54.78,65.62,Medium
INT1622,1.0,3.7,5.85,72.02,Medium
INT1623,4.03,1.0,92.34,53.92,Medium
INT1624,,1.0,,38.28,Low
INT1625,1.66,2.26,58.25,68.05,Medium
INT1626,4.84,2.09,59.37,38.75,Low
INT1627,2.47,3.84,91.43,88.44,High
INT1628,4.48,2.74,93.4,69.2,Medium
INT1629,1.9,,76.17,72.68,Medium
INT1630,4.04,1.0,95.63,73.34,Medium
INT1631,5.46,5.0,92.24,77.22,High
INT1632,3.46,5.0,86.57,95.45,High
INT1633,5.02,3.66,63.17,70.42,Medium
INT1634,5.74,4.34,55.27,72.14,Medium
INT1635,6.78,2.08,63.54,48.56,Low
INT1636,2.12,2.32,53.34,69.05,Medium
INT1637,3.69,4.25,,70.72,Medium
INT1638,1.84,3.29,57.92,74.14,Medium
INT1639,6.58,3.73,94.02,59.82,Medium
INT1640,6.18,4.2,61.99,43.83,Low
INT1641,3.9,4.74,98.51,96.72,High
INT1642,6.44,2.28,79.86,69.67,Medium
INT1643,4.62,4.34,61.86,58.58,Medium
INT1644,4.6,4.71,74.86,77.03,High
INT1645,1.32,1.0,60.95,61.57,Medium
INT1646,5.25,1.0,99.2,48.05,Low
INT1647,2.09,2.21,0.81,77.18,High
INT1648,5.67,3.41,51.31,48.7,Low
INT1649,6.11,1.0,97.39,47.94,Low
INT1650,5.42,4.06,,78.86,High
INT1651,1.62,2.24,7.57,73.34,Medium
INT1652,2.87,,83.53,75.37,High
INT1653,2.77,1.0,82.35,60.03,Medium
INT1654,3.28,,60.94,56.74,Medium
INT1655,1.86,,87.92,100.0,High
INT1656,6.96,1.43,54.35,51.99,Medium
INT1657,4.41,4.6,74.47,78.91,High
INT1658,2.96,,23.11,81.6,High
INT1659,3.8,3.29,98.44,68.72,Medium
INT1660,4.11,3.0,87.58,63.31,Medium
INT1661,4.76,5.0,57.94,69.86,Medium
INT1662,3.6,3.99,67.08,83.83,High
INT1663,6.12,2.52,,51.8,Medium
INT1664,4.34,5.0,88.33,86.19,High
INT1665,6.53,5.0,52.94,61.15,Medium
INT1666,5.82,3.22,92.02,55.15,Medium
INT1667,1.98,4.9,97.11,86.0,High
INT1668,6.68,3.33,62.07,75.08,High
INT1669,1.78,3.55,60.65,82.55,High
INT1670,5.69,1.0,68.0,41.65,Low
INT1671,2.99,3.15,73.86,60.68,Medium
INT1672,6.53,1.0,80.23,47.14,Low
INT1673,6.65,1.8,,48.25,Low
INT1674,5.39,5.0,77.71,70.54,Medium
INT1675,5.37,1.0,67.57,42.79,Low
INT1676,2.97,2.68,43.17,72.67,Medium
INT1677,1.79,1.24,54.07,65.0,Medium
INT1678,3.71,2.47,73.31,79.13,High
INT1679,2.26,2.94,,79.24,High
INT1680,5.56,1.8,31.86,45.56,Low
INT1681,2.8,2.46,85.27,58.7,Medium
INT1682,6.46,3.55,90.99,45.01,Low
INT1683,4.97,2.81,83.04,68.56,Medium
INT1684,6.25,1.08,50.65,40.12,Low
INT1685,1.88,5.0,37.36,86.67,High
INT1686,,2.66,30.46,52.03,Medium
INT1687,6.84,1.0,61.68,30.48,Low
INT1688,4.12,3.72,98.13,85.87,High
INT1689,4.2,1.0,82.58,56.72,Medium
INT1690,5.2,2.61,64.85,66.03,Medium
INT1691,2.33,3.72,96.48,72.56,Medium
INT1692,3.72,3.08,87.03,72.74,Medium
INT1693,2.92,3.09,64.23,76.2,High
INT1694,2.29,3.71,30.14,94.82,High
INT1695,3.6,2.84,59.97,53.35,Medium
INT1696,1.13,1.0,98.55,80.7,High
INT1697,1.43,1.86,2.27,78.95,High
INT1698,1.36,2.71,94.8,100.0,High
INT1699,6.57,2.61,67.32,63.13,Medium
INT1700,4.42,1.0,93.04,58.31,Medium
INT1701,7.0,1.0,52.69,28.83,Low
INT1702,3.1,1.0,99.1,72.47,Medium
INT1703,2.7,2.23,95.6,60.65,Medium
INT1704,,1.0,68.16,55.07,Medium
INT1705,4.14,1.0,,59.53,Medium
INT1706,1.8,3.34,87.61,93.42,High
INT1707,4.75,4.0,95.06,82.66,High
INT1708,,4.79,65.36,92.62,High
INT1709,4.82,3.3,73.28,57.24,Medium
INT1710,5.04,2.4,93.25,70.87,Medium
INT1711,,3.43,88.93,94.75,High
INT1712,1.16,2.27,69.67,67.7,Medium
INT1713,6.16,4.56,53.47,67.08,Medium
INT1714,3.7,,0.0,61.05,Medium
INT1715,1.15,2.62,89.1,70.71,Medium
INT1716,6.82,2.41,60.34,43.18,Low
INT1717,1.37,2.9,64.31,59.74,Medium
INT1718,5.61,5.0,,67.4,Medium
INT1719,7.0,,72.49,38.28,Low
INT1720,2.52,3.85,76.03,64.25,Medium
INT1721,1.51,1.28,77.24,61.7,Medium
INT1722,1.38,4.26,66.58,94.14,High
INT1723,2.82,,58.76,64.57,Medium
INT1724,1.84,2.29,88.42,88.8,High
INT1725,5.4,3.08,36.27,60.94,Medium
INT1726,1.1,1.0,75.29,80.97,High
INT1727,3.66,1.0,82.23,56.35,Medium
INT1728,6.86,3.78,70.21,65.26,Medium
INT1729,6.3,1.31,85.38,51.17,Medium
INT1730,4.74,3.02,13.22,38.2,Low
INT1731,2.66,3.64,91.93,87.46,High
INT1732,,1.64,1.62,60.23,Medium
INT1733,3.79,2.03,73.62,57.31,Medium
INT1734,3.53,4.5,98.48,80.26,High
INT1735,2.07,1.8,77.37,80.75,High
INT1736,6.79,5.0,72.98,66.89,Medium
INT1737,3.7,2.49,66.57,76.11,High
INT1738,1.84,3.38,82.88,84.39,High
INT1739,3.39,5.0,0.0,71.97,Medium
INT1740,3.74,1.17,30.58,58.53,Medium
INT1741,5.54,2.09,51.36,42.27,Low
INT1742,5.75,1.75,30.4,51.79,Medium
INT1743,5.95,2.03,69.79,49.97,Low
INT1744,1.04,3.94,2.21,100.0,High
INT1745,3.56,4.06,64.64,76.21,High
INT1746,4.1,1.8,99.2,65.4,Medium
INT1747,1.3,1.0,1.61,58.16,Medium
INT1748,2.08,1.97,35.16,51.88,Medium
INT1749,5.18,1.78,9.95,47.03,Low
INT1750,1.48,1.0,63.03,64.11,Medium
INT1751,4.47,2.93,7.98,58.89,Medium
INT1752,2.23,4.0,77.98,89.28,High
INT1753,1.12,3.75,3.72,94.32,High
INT1754,2.72,1.0,59.79,62.43,Medium
INT1755,6.7,1.6,0.0,42.32,Low
INT1756,6.06,2.83,50.83,48.74,Low
INT1757,6.7,2.24,91.98,73.25,Medium
INT1758,3.81,3.36,89.0,84.71,High
INT1759,1.49,2.64,53.16,87.35,High
INT1760,4.75,2.84,68.24,68.14,Medium
INT1761,4.0,3.58,97.76,87.65,High
INT1762,5.59,1.0,69.6,44.51,Low
INT1763,2.05,4.86,76.31,80.27,High
INT1764,4.21,1.8,67.76,59.7,Medium
INT1765,1.55,3.53,79.81,79.11,High
INT1766,2.53,2.54,98.91,81.87,High
INT1767,5.23,1.83,99.88,59.27,Medium
INT1768,3.98,1.01,9.0,49.69,Low
INT1769,3.38,1.0,70.22,52.25,Medium
INT1770,3.15,1.0,0.0,53.8,Medium
INT1771,3.71,1.0,39.25,49.75,Low
INT1772,5.42,1.0,99.28,47.36,Low
INT1773,5.9,,85.39,49.75,Low
INT1774,6.75,1.0,52.27,38.67,Low
INT1775,5.57,4.75,50.61,75.55,High
INT1776,2.93,3.82,76.02,67.31,Medium
INT1777,5.58,2.31,71.91,50.16,Medium
INT1778,3.27,2.18,76.15,68.37,Medium
INT1779,2.03,4.23,59.12,86.02,High
INT1780,5.63,3.51,51.1,56.95,Medium
INT1781,,1.18,8.47,73.33,Medium
INT1782,6.62,,95.91,62.03,Medium
INT1783,3.85,4.66,72.71,86.28,High
INT1784,4.81,4.71,97.27,75.95,High
INT1785,4.81,1.67,86.47,73.28,Medium
INT1786,6.18,3.48,77.91,75.9,High
INT1787,4.7,5.0,79.53,80.84,High
INT1788,4.79,4.12,76.95,63.38,Medium
INT1789,1.07,2.52,85.35,85.69,High
INT1790,4.38,1.57,0.0,68.0,Medium
INT1791,1.98,,83.46,95.42,High
INT1792,5.19,1.8,56.08,35.25,Low
INT1793,4.07,4.0,63.28,81.28,High
INT1794,5.54,1.8,91.8,51.21,Medium
INT1795,1.0,3.68,8.28,82.88,High
INT1796,1.21,4.0,76.95,99.02,High
INT1797,5.25,3.5,51.58,46.7,Low
INT1798,1.57,2.71,61.25,85.51,High
INT1799,1.14,2.33,85.1,64.72,Medium
INT1800,1.5,3.38,3.83,80.5,High
INT1801,6.88,1.0,79.92,42.25,Low
INT1802,5.81,3.25,71.49,53.18,Medium
INT1803,2.95,1.0,33.99,65.35,Medium
INT1804,3.11,4.77,94.34,97.75,High
INT1805,2.98,5.0,58.05,86.98,High
INT1806,5.4,2.26,55.18,38.95,Low
INT1807,5.38,1.9,50.14,63.86,Medium
INT1808,1.7,2.01,43.57,60.23,Medium
INT1809,2.48,1.92,57.37,51.39,Medium
INT1810,1.55,1.8,61.0,60.33,Medium
INT1811,5.45,5.0,50.56,71.97,Medium
INT1812,5.63,4.0,61.36,75.59,High
INT1813,2.85,3.38,66.64,55.86,Medium
INT1814,1.0,3.25,5.89,58.21,Medium
INT1815,1.49,2.76,80.4,74.28,Medium
INT1816,7.0,2.86,78.44,51.91,Medium
INT1817,3.05,4.08,54.85,71.66,Medium
INT1818,5.28,1.0,79.75,54.43,Medium
INT1819,4.67,3.83,99.93,81.76,High
INT1820,3.21,1.0,97.22,66.99,Medium
INT1821,1.83,4.0,50.13,84.0,High
INT1822,1.67,5.0,89.77,92.82,High
INT1823,5.0,3.55,0.0,57.87,Medium
INT1824,5.45,4.96,,66.54,Medium
INT1825,4.79,4.07,64.8,75.61,High
INT1826,4.64,1.16,66.09,55.54,Medium
INT1827,1.0,3.96,7.21,78.03,High
INT1828,,4.54,83.05,71.43,Medium
INT1829,6.03,1.8,87.45,49.05,Low
INT1830,3.02,1.0,62.3,53.46,Medium
INT1831,7.0,1.0,32.05,45.31,Low
INT1832,4.84,2.2,65.42,71.31,Medium
INT1833,4.05,3.89,68.14,75.41,High
INT1834,5.52,3.68,99.98,85.9,High
INT1835,6.15,3.93,88.9,63.55,Medium
INT1836,4.53,2.2,98.75,56.88,Medium
INT1837,1.28,2.35,84.66,84.87,High
INT1838,3.34,3.91,70.31,85.86,High
INT1839,6.78,1.0,69.49,39.06,Low
INT1840,2.26,2.49,74.43,60.63,Medium
INT1841,3.67,1.0,70.84,49.55,Low
INT1842,3.86,4.97,91.42,79.85,High
INT1843,4.11,4.0,46.75,88.22,High
INT1844,5.11,,64.78,64.62,Medium
INT1845,6.64,3.93,88.74,77.77,High
INT1846,,2.85,92.72,59.3,Medium
INT1847,1.9,5.0,71.02,91.55,High
INT1848,2.49,5.0,83.39,93.58,High
INT1849,6.61,2.06,52.94,37.66,Low
INT1850,4.52,4.69,76.47,84.11,High
INT1851,2.45,2.95,17.86,62.58,Medium
INT1852,5.67,4.36,51.46,71.23,Medium
INT1853,6.49,5.0,80.65,70.71,Medium
INT1854,6.39,3.83,65.17,66.94,Medium
INT1855,6.51,3.05,87.13,65.35,Medium
INT1856,2.59,1.8,94.8,61.6,Medium
INT1857,5.86,4.73,8.61,54.88,Medium
INT1858,3.57,3.23,59.46,70.56,Medium
INT1859,5.6,3.17,75.73,66.2,Medium
INT1860,5.35,4.83,55.61,69.47,Medium
INT1861,6.07,,0.0,78.15,High
INT1862,5.23,1.86,80.47,41.04,Low
INT1863,1.93,5.0,75.78,89.33,High
INT1864,3.83,5.0,96.32,88.31,High
INT1865,7.0,4.96,76.05,62.69,Medium
INT1866,6.95,1.32,99.53,47.37,Low
INT1867,1.42,,2.41,64.47,Medium
INT1868,1.92,1.88,30.55,52.41,Medium
INT1869,1.41,2.51,73.52,79.09,High
INT1870,5.77,3.32,59.12,64.16,Medium
INT1871,5.69,5.0,79.86,78.72,High
INT1872,2.0,1.59,84.66,78.11,High
INT1873,4.36,1.33,9.6,63.37,Medium
INT1874,6.52,3.3,54.89,54.44,Medium
INT1875,5.56,2.3,73.43,68.07,Medium
INT1876,4.37,2.75,54.07,81.58,High
INT1877,4.36,5.0,84.11,82.24,High
INT1878,3.57,4.31,89.52,64.78,Medium
INT1879,2.48,5.0,98.12,87.9,High
INT1880,4.47,4.23,57.44,69.78,Medium
INT1881,4.78,1.96,76.62,57.21,Medium
INT1882,6.62,1.0,78.38,46.27,Low
